id,argument_id,claim_id
004c4f4718c3cc9ef87a1bbe372f4de312ebe63a60996cbb719a52202fbcd255,6053c994e089371316be35bf66f83f9fc40b545367be448bf21139ebc9774914,afeb546997bb2b9ecf632ae3d41644e3df3a76659e24c65fd0d8ff99242e3047
00759ed1a1c4efc97c23b3a20b2dc6f5441969ae2cebcc67e796425b1e5c9de5,b441be6064f2757560504a697483eed401a9a515ddd7d2237ab75c48b0b92677,30306aa4103cc8645c8f66042b9ba59ecdcd1207fd109cf398b90eab32fca01d
0185791d8ed380f34067f5d8096c99311b5e95dadd9fbd3ca5e4a1d195ca1b36,247c9170d50638364783bab06463fa8272d9ed2b207c482b0ae07f3e1cead888,24e330432d3a326b188603c285d596cb5c441958df850835001726c0d98aa6be
0290ea1538179b103e794577b228abfa4f7579edefd9f40d80300f4b193a901c,53d957b84a8b002ef8d2087cc6312813c729d6c249dcd3c9f1674998bbabf590,c61c4ac28a11056ab51770a9acd4fdefff6899366b3ca62cc03ced65345c8c24
03134f56638b03abfb62d51300bac9242d61f35a5b7bc611a4234b23bf040e74,97edede5056002b9dc35e1a9bfa4bdb57285492c2c09162c2976fedc4ca2a832,a6a7fc1b3128519835118b022e36d8404240bd2e4cd2a98a2e1ec5386e8c2222
032d21cb860750bccfa6005e63d1b21ee72240967306e34a1f89d217c9819f10,e484e7b88c76412ad5ca9877571b762a7fc7498e964a6e288d379c7df67daa4a,17f87d2eddc207dd03aa829f8a940076f27fc291271eca1a65317435e1203de5
04010c5f8ccc42f85a6978305f9fb24db1dcce6cc754791afdf6c5a458b9fab6,27ec9cd6ad568816781bdc0b7ecdc233aa343fe12de0f251fbf21dd837875984,f5e35181e0eb23623be1883f2257a62fa102c7c40204e44534ad1a66a2a93785
057928d4920041b48ec6bead6fc5993f4597b043b321b9f8656be2e8115dee4e,2c4079885d18f31bc38ee08bc9ba2d6a22def960db7d3be5a66c3094b0117ac6,5952ee8dc09e0f8853ae6d0216cb681f57238f77060e40cabcabe50ca3b67057
05a6c43d70f9585cba94c60420ac03a7c5f7552ec09ee82603915e1036b90635,0c1a7b96306ed14caf9c2b7516d9504ba8a4800291227d1a4cccc606b6833d0d,744763d833d64b75695a85cb6589eda8a9d963bef78f2af3eff137a205542672
0626a2d2f5290d421ea78ad6179ab857f016d91800779e971b73ecb36f75fd33,0f1830eec8f9acac74c159e62d61bb7269656371fd043cbc86bd7595d6f91c79,2c3936eef158625442f1ff400c5ddb534d9c9ce2e05b24dae2a09f068531bca5
08d441df22f5a3b5eaff70c002dbd87ef55dc3b90ec478b77f7a90d5119d1ad4,8e500960b46821714f53f63d7cebf9e1ea82d5eb09d65fd37f00233dd81ffae3,98a5f5204c8e5b91d834dd9b474a941715d5b707376f11c0037449978121eaed
0913fc80d7ba4fdc7c7803ee66b689bf108e368f43cc18c1abcbddd44361f02e,2b11ed81631003a11852fb47648f886b93fb4196e35b8f2c2d59a5f385c3d5bb,3c1315058d013cdc77d355ed8fb18e28392cd8dc8ebd487442cbc0eda68ab83c
0d5181e1c0e203f68e6af40b0173efa578b8bb81f3f4f6873ffefb83d8d8f05c,3b2b907e362254f40e090ad0b903e71c91da1c4750e584761965d27feb8b3619,80ff59217a93bcfa961cec57865b1e47bf847aca9abaf5e3ddba41f8aadbd012
