id,argument_id,text
010db06b52fb60d04816af47bfbbea99623b284651b2822601c61c2ebe095bad,e792f91a11a8cd72e8c84f61ff6c11908dd52dcb5c4f7756ce409c0142234d2b,"Some sports are banned: chainsaw juggling, monster truck racing, etc."
014ffde13854e9750b7730268ddcdbc3ee728ae221725521123f834f51a5263e,7b55c999b8ef4a14f71f1b0519a142802b3b4407ec3f7fe309c6e79109d3107c,"""Perverse"" is a moral value the State should not concern itself with unless it causes harm to others."
019f36fbb56276c974b2285abeda22ce14a9aa92b22f79cbd6ab6f25f5109059,2b86c465b78df515d62ffa75b2b562ac04f85da06acf6bf5326cdb9f10770973,All it's claims are not really claims.
022631bc282991645f2464fc8a3dd11143b795c4efbbb4dff6a2aac67bf0f936,a246e90b24eba59e062656e5752d2469e8fb18c795f63c4bc6d28085c2f426b1,Strawman: Main contention is simply that carbon emissions are not conserved. Increasing carbon emissions is a form of non-conservation.
045eba6e1ac53f6aa6e9557ff4c831fc066d3f5e02977e45711289bc18b51719,8ee88490cd635bd10e5b450c2ed4a567cbbeda7e1555aaa734240d8578b65ab3,"Other power sources are prohibitively expensive relative to nuclear power, at least for the immediate future."
0496fde547b3834eb0a490713eb5027c27c40b9c072f0051c931ba9c71549265,7b55c999b8ef4a14f71f1b0519a142802b3b4407ec3f7fe309c6e79109d3107c,"The argument that same sex marriage is not actually marriage but ""formalized perversion"" is semantic dispute about the meaning of the word ""marriage"" and says nothing explicit about whether the described relationship should be legalized."
058e4eadb545d87fa00989ff519652b5fe79906a15decd9ac907f0a85e776354,931d30ff568fecc0b022144a0be288ab5579b79677cb9dbd63d4901b38c50d46,"Marriage existed before civil society, and is not a product of it."
06c23c5b23a1990ee6aeceab2127e75d2e857c5ecac23526acf229c70cb5ced4,cf99f6964e63840ac9e90cfab4a4b5b8616e123c47bada8ae8bf9562b9a1b084,"Redefinition of terms. ""Marriage"" has an established meaning which this proposal ignores."
08ab7f973c528a40be1960b614430ca8ebfe55b9d4550844532ca15b014fc68c,5746cae60b4f59ba2ae460b246ead9e5ad7477b6b1544cc616923fd398722025,"The original claim asserts that it is a natural right, not necessarily a legally protected one. The fact that these actions are illegal under some laws is not evidence that this natural right does not exist."
08e5ec57557f9ef0fbafcbbca1ed69ac9699c4d3a10810b340a53853153abaa9,e484e7b88c76412ad5ca9877571b762a7fc7498e964a6e288d379c7df67daa4a,"The same arguments could be deployed for allowing related adults to marry or  non-consenting adults to marry, or non-adults to marry."
097d0ad986c34bd46faf2b356eaec0f891c2a5f812a200d09a3691715f370e52,2dcfb446c126b91dbcd8a7da96643a6622da6bd7851c83869b62efb33a87c3b8,This is the exact reason why government should have no affairs in it whatsoever.
09e30bd3f23676372b51e693e54119cd65c31c318a89fbae4408e26eac89dd73,7683b77e3c46cf4f33d55087b0455031d2253bcad3fdc0d958c212d1b76a7b5b,"Instead of just linking to an article, lay out the arguments into a proper argument map."
0ade2c5a87f5622d8791f552e9f36dd1a62b7bf0f0e381430beb3c033abbeb66,91866d133af8bcbcf6de7a516cd3ec1bd1b2fba2d84ff9e379c229e647a0e34d,It does tie back to the disputed premise. Where's the causal link?
0bdcab30b108248864b2ebd0cb739a1b1181bae615d6de324805104e82f5489b,fbd88b7418e4538694ac79fd087e2e57ba757a23d0186f65f5bca82f4df12450,Society evidently want cigarettes to be legal. This is not an argument against but rather an example of how it works.
0c6ceb210fd753676308398138092bcd7186bc0572d2d0a60cc119461ae17bfe,2b11ed81631003a11852fb47648f886b93fb4196e35b8f2c2d59a5f385c3d5bb,"This argument is for removal of restriction against polygamy, etc which is irrelevant in the current context."
0d74d06bf575fa12b25ce67c4c03e48140555bfb36f0f12b793da35dcfb141f0,902686b71dee40b6cf806ac37fcfbcb806e73911a91ce3aad029731f4a7eb494,Thieves that would cut off your finger to bypass a biometric security measure are as likely to threaten to cut off your finger to get you to tell them your password.
0dc1924ff69f003be800ab05fdaf39e8c7ec51a108f8149118fbe80ba9490600,49d369c25d065b94f842e4a0437b48a74ddc991f8f22ae17c58c3ef760d08872,Argumentum ad populum.
0ea0d9865500dc96ae2236eaee1350c96239ac7b59a6fc1af950769537ea7042,01952f56085ecdac7619eb01cadc4b689a2563cde0263f4afdf28467022e0291,"Well of course it can be, but the question is should it be?"
0ea208f23ae41327e5e47a9459c0e16643261d3ed16b0d554317c704ac5c30ed,60358091b6dcab1f70592045179e1bf7383240463658c86a69822767f36a38d9,This claim requires a source.
103f35cb1ab977c3159f1f86f1a84ae3212b38befd5d7eead7f9842c733b35a3,d337eb4d1f0781ac7b2cfac05b11e86e861e142651ee500ba6ed1c61017805c0,It's not an independent argument. It only paraphrase the claim at stake. 
10cf904d1fe26c107b517cb372d880be5aef248e1530276c8d22af5f24de01ea,8dc5a4270adcfde4d260c3041aad388aadf02e7f84ccc238e566578109bb2fad,"A slight ""suffering"" in productivity does not equate to ""falling apart."" Define your terms more rigorously."
121a71af1dd44000fb6c4065dadec50751c91e42a2c91f351d0f4afdcb6d3976,7e240ca2686585e6f1f31f0c82bc9d53e81b080afe9d14461614dc49b250059c,"It changes the argument.  What is being discussed is not that marriage should or should not be legal, but that given the current legal situation, should homosexual marriage be legal."
12c8d090a7aaadac743e2f0119c458e7215ac2e8554fd75eaff6db83ad3ba40c,b441be6064f2757560504a697483eed401a9a515ddd7d2237ab75c48b0b92677,"Carbon emissions are undesirable of themselves and taxing externalities is one of the few workable mechanisms for dealing with ""tragedies of the commons""."
133c8c0a072e21306c1ac76a8d9c68061ac8d17fbbf75ea55565a7df639f0f92,2a1a42c0a553f94198617371053180fb73b651e7a089a4e82a3a151dc0b75679,Incremental fixes don't always result in the wanted or necessary re-design.
15b4cffb56c7ad7c2a8350bb3bc5b67178a43324194c7db4b59ce33f767b578c,9819ba9107c8d4c2be0ba76402102330620552c40b5ff732b9f2ba1bf9d007aa,"Mariage is for the protection of the children, including the right of having two legal parents. "
16b9cf847ae729ec0552886f258daf1f1d239200adc3d9a050bef219f6776aa1,617143142e47e3d06aa9b5a5d86609347173f552a3c8d787fdcf6ee063807735,This argument actually counters the claim.
16f4566317ed4e8ad1cb4f1f05ae7928663264acd254a0ef33a4a91e43a97a1d,43146272433596350287b41b9140be1bcf5e235d8775c3f6f3987c478265b3d5,Nonrepudiation is not the only desidiratum in user authentication.
170a444cd4f5518a899055a031f02501a0d61bb1b298dec55a29f15042899262,7797993bd9d0ee179f74928932ed57dce06e0f0f7f21f5e0690712089db87adb,"It is irrelevant, it is clearly shown the current law unfairly privileges straight, monogamous love"
1825603b14852657a99fd1fcc615221f84abec49c1053e3e0ecb0495a6fbc72c,6c27f9742209880d07d84cda66a4779c0c84205b8bb5f1e2c53a4fd45ad7584f,"In a democracy you will need to accept the will of the masses, even if you think they are admirable - if it is illegal you know a large percentage at one point disagreed"
185dcdb260278da7ef6d99ad61f3980037281b6f61cc726ae14b810a051b6979,ce1f1c1f73196e1c8f2e65ead68dcc7cb871110224e713a6378b9b4eb9e6d3dd,Studies linking marijuana abuse to lower IQ did not adequately control for other environmental factors.
18856f099c4ab45986c75bf839636cb5c2fe19400536c741eaa9ceb93fc87b50,1cefc7f6ff21c214da6b27f70abbc13ad1d7f3991f27200385d02ccc0928bd1f,"Evidence exists that carbon emitters are not always integrated into society (i.e., they damage the commons)"
1917197a7ca004b0eef6e49221bacab678dcc25b4d10bf3e021d51fc91ddacdd,205ef4b274ca8e85d30774c2fa934cf732c7c10072b440e2e7f9160b52820840,"Data comparing death rates per terawatt generated (which seems a reasonable measure of safety) shows nuclear to be safer than coal, oil, gas and even solar and wind: http://nextbigfuture.com/2011/03/deaths-per-twh-by-energy-source.html"
1938aa2932c5d8bd63d276cecc27533353d80409cd1607302744715d5d4c09fb,3e670f17580441f73f3fe9f0e949ae88cd3e7897208907ed5d163d321e9aa63a,Marriage isn't the best method to make romantic relationships binding merely because it exists
