argument_id,index,claim_id
0097feb44ddf4ef60eb05af8e93f972c9148cb04dc0ddb0de3c01ef492728d47,0,f0c9c94139dd276c4c2d9751587555e079b962b197d6a98683fd9b57eaafbb00
0097feb44ddf4ef60eb05af8e93f972c9148cb04dc0ddb0de3c01ef492728d47,1,99dab5b5d6661a886385f545bb265f034ea14931e091e8c04ff5a43740730847
0097feb44ddf4ef60eb05af8e93f972c9148cb04dc0ddb0de3c01ef492728d47,2,1a15ac5d04e379354c79d2f7d27ca43b4b3c4e59a9b4c97d618e22da7bd1e9aa
0098a36570af6ca9afeb07b3cdde207b4b5cd8c66e246fdc6eacabe6c7f42d63,0,bf3d662e18c180ed6935baea06cebce4286b2deefb1c03acb6576b9333a127b0
009b5df5d8b386dda9c90972bd7a112dc8348d0fadae84edf4fc184868d5031e,0,d1ec07e5d05178b8aad5f4d063a82fad60fa4e8c009465e43efce29d4d8f4f53
00a6a5d0a5a82678cff19e4b8aee275d228d514cec9d97e87e7a5f61a39e8c39,0,2585a69b41e345b53b66d31f32140d05b1c96deb4cb684eb9e96828dc7cc10f4
00a6a5d0a5a82678cff19e4b8aee275d228d514cec9d97e87e7a5f61a39e8c39,1,84f69be97ee61529fea2c57f843234ffcecfae1938d83f4c2e53db32d05a2091
00b9cdeafa2fcbcf0e7406c908d55df01cb974467bf1227952bbdfa4dde6836c,0,4ce8a135f598c7faa32453da70a97d6422c3ce10504dc8b3ec51122b1fcc8c63
00b9cdeafa2fcbcf0e7406c908d55df01cb974467bf1227952bbdfa4dde6836c,1,cdfa591c0dab4262f4b91a4a4cf6f6f105ee7b0f3d88e96a1204427468ceaacf
00df859e8bbf1541bf128c4b1f8b044bf2adcf8226cd8075877cd505ccd0545f,0,63321bfdc010b352433c5fac2d5f2eb9b0425622fbb5a3c145c7e259968d3317
00df859e8bbf1541bf128c4b1f8b044bf2adcf8226cd8075877cd505ccd0545f,1,37b4e11ee8915252b8c2bd630e48b2898b89cf8325ad42c20de54ca7b30d34bc
00df859e8bbf1541bf128c4b1f8b044bf2adcf8226cd8075877cd505ccd0545f,2,3af0ed5b2113631c4be8a966337aa6b33a9baf332cc63f9e856bc4edcc13a613
01952f56085ecdac7619eb01cadc4b689a2563cde0263f4afdf28467022e0291,0,b156ed209a0a9f84b8b8594a88afd5b9a5aedc79c567de479655ca4738466e06
01e80bd447309704f1f65be1013684af58d3e66c36958db12a5a567e5f085589,0,a3451c060840c51c88a93de3e28307da46b8c4d13576bbced3b1301f294429a7
020312487617d83dea5688457889e151e679156251f791549feaccf72c38a1b1,0,31cf2c562ada251c4a19c05413d9a4b6b382a0ad2cf679ff8aaa16ba5d4bce33
020312487617d83dea5688457889e151e679156251f791549feaccf72c38a1b1,1,86339786e667877a823c7bc6b90894b4f36517c913754078a5cd28fd7add1b1d
020312487617d83dea5688457889e151e679156251f791549feaccf72c38a1b1,2,9a09d6eeb5b67b93d0eb108fd1cdff218f9cda5a965e8c5daf154d033942f6f8
0211c369ebe35ce4ca1dedbeaaf6df57be6f014f8978d392e5f77580c7da47b4,0,c1b03986c72c77f37453f102bf67b1ec24350078bf72f6fb170877ef27cd6651
0219a6206f8ced55061eb7bfe7f4b806082be5fc36a093b4768e40ce615b7b2a,0,f5bb4e12696893b3e33fe53c313e51f4fd161778b6cbea0d36f313b42138a99d
0219a6206f8ced55061eb7bfe7f4b806082be5fc36a093b4768e40ce615b7b2a,1,27754b44371f8e88644b99bf77ba2e167d72bfd8b22ee1056e3da51cafab5ec7
0219a6206f8ced55061eb7bfe7f4b806082be5fc36a093b4768e40ce615b7b2a,2,c5015df61e84c567a1bfbef6dba8bc276d21a7c59579bdaf3480816ab5a7ccfa
028539d05e3d58b09faaff63a9a9eaac2e74f8331ef6682d35d1ea5954be96c0,0,3a7d3353d9a40b6d552d7099efbf06ba44db1bc5b8e5176f1748ccdf4e2516a5
02aa0e86325f44183e5114c6461adf9c6e9324b0717dcae2b4298c3457d5b9a7,0,e1a109ccca529da61d31d0da4c6a5caf36895c2b1614ec9b36cfe19fc7279ba9
02aa0e86325f44183e5114c6461adf9c6e9324b0717dcae2b4298c3457d5b9a7,1,1c0f123e046d947db2d9d96fb7b780ae41d90f58ad0811b2847ffd7a6bc277f1
02beffab4222de0408bd8f361835db6a5afbdee423d9ce3e977798fa7fd719a9,0,6ecb0dfa5371ca2c9a454839349cf2c8da50f33356583d7521f974242b68662d
02cbe8586c8f32eefacc922dc842803bc38e69acb668cbfd971251e2462d0b94,0,4d0a012c0a334c669d84bf1af8f47e471af552975a37f97d1d2a66dd165989fe
03692005783aa2f576094c7891f5b0e77fd1c24b8696a3ba64b73c38181fc72d,0,893d670ecd44703f67be97eb3a47d9846fbe8ab35a0fc85b3203fc74560083bd
0412a85861b418b0b29a18f079280e88f06a17c2fd4170245e72de32a512b2bd,0,1cb57639b0ea8088a6ee01664d261fc4456fa230bd131139aaf7f4d15b8a9efb
0412a85861b418b0b29a18f079280e88f06a17c2fd4170245e72de32a512b2bd,1,bf49d14c282785956bc0d9bdd52cf2a73c2ec648c8f3b95bbae8fcc24c8638a1
0417940ba3bd9e6aaa0169fd3bb1c8f7efe0f9a3c1e6fa7d2b983e9d15b643c8,0,3b46d0891832728a7b8d349167d5e226da87f91b261eb3598c0a1ee7b2d8c6ff
042cf09e13c7e8779cb2ef5a2f1255bb8eb54b717576cd2c570f8f50de0fedf8,0,14870ee3f423f7bc1c2e0349484f37d0f1655ad2933915d233b1b4a8f0db90e3
043488019e555e3cd056493b2fe4778e532b5ba15902faf78059ceb06255cea2,0,eb152654de3f42f857409ad621179bb20bba8a95c896cf0f6d21b1101e75db73
043488019e555e3cd056493b2fe4778e532b5ba15902faf78059ceb06255cea2,1,0815d454f3c652e7208a8602e71718a901e3a82007dff99482f84d419303201e
043488019e555e3cd056493b2fe4778e532b5ba15902faf78059ceb06255cea2,2,71614ce0738fad2d16a232fd78472aff8770e30c82114cdf42463682194c147c
0446c66fc70f8fde63d8ccae05c108080e1020d42eb55bb937feea2b443d0e4a,0,94517462fe4aad8b82f0a9d067edce61033ed1637722a1cae418f7b3211ed1f5
044c0f821292c6aa78f14668cb894919f9ddd679ab143184f844fddebf8f47e6,0,67cbf62e4335720c0a368755aa08e55f6bef4b08c50be1d70a26d1aa1d347349
044c0f821292c6aa78f14668cb894919f9ddd679ab143184f844fddebf8f47e6,1,20e574c994397192b054fc70cb9be8214e1420803720d99c09cd1423a2b97543
04f85950097d6f6db2fbe43d9bcdd3c0de8b2826b8a0116515e2bb6aafe7b501,0,4dafaa67ddab82368f4463ce3e53c6ef467ebbc2c0f2adfaa14f74afce68f5e8
0658bef08d3e67246a73e2b476f22d63b1a89171e2021671a909f486f90b04f3,0,06783be7d18b108d1150450acdd7326eb768b271bd1177f405c3b228b845f4ae
0658bef08d3e67246a73e2b476f22d63b1a89171e2021671a909f486f90b04f3,1,b09c78eb31096cf9ec27ac7d32c9fb1b4008076a078925583f78206d2b273a4f
0658bef08d3e67246a73e2b476f22d63b1a89171e2021671a909f486f90b04f3,2,c270a0880a00ccd03570d0cf2afa08d50f00e8592344f50c65c50bd30aa7aa34
0658bef08d3e67246a73e2b476f22d63b1a89171e2021671a909f486f90b04f3,3,c3e7bb85e13dac6f8b56ce53999d42449ec1ae3bb744463c342e3ed7616b4b81
