id,class_id,accepts,user_id,creator_id
001a8263cce75994d7c7c7d031398ff9e5774db49f31cd64ce0bcb9e36d6aa13,cl,t,493,537
001a8263cce75994d7c7c7d031398ff9e5774db49f31cd64ce0bcb9e36d6aa13,cl,t,537,537
001a8263cce75994d7c7c7d031398ff9e5774db49f31cd64ce0bcb9e36d6aa13,cl,t,605,537
003e09e62ba60b1de5465ff4ee7ade70fa70f2d961c59879b90b5fbd6d0ea372,cl,t,601,601
003eccf19d0e76e14a57c8ceb0f874304af1df2cb558e11411a13fcb5776f166,ed,f,195,195
003eccf19d0e76e14a57c8ceb0f874304af1df2cb558e11411a13fcb5776f166,ed,f,635,195
003eccf19d0e76e14a57c8ceb0f874304af1df2cb558e11411a13fcb5776f166,ed,t,226,195
003eccf19d0e76e14a57c8ceb0f874304af1df2cb558e11411a13fcb5776f166,ed,t,755,195
003eccf19d0e76e14a57c8ceb0f874304af1df2cb558e11411a13fcb5776f166,ed,t,758,195
004c4f4718c3cc9ef87a1bbe372f4de312ebe63a60996cbb719a52202fbcd255,as,f,736,228
004c4f4718c3cc9ef87a1bbe372f4de312ebe63a60996cbb719a52202fbcd255,as,t,228,228
004c4f4718c3cc9ef87a1bbe372f4de312ebe63a60996cbb719a52202fbcd255,as,t,344,228
004ef7f1cf78049083d1f4813b2cb66d2dad553bf3cf99acb15c734ac29ecc34,cl,t,1,1
004ef7f1cf78049083d1f4813b2cb66d2dad553bf3cf99acb15c734ac29ecc34,cl,t,205,1
004ef7f1cf78049083d1f4813b2cb66d2dad553bf3cf99acb15c734ac29ecc34,cl,t,683,1
00561286ab802618262a781682514d3c401e5c56951820e0217d18204f0f3f4a,cl,t,493,493
0071fd19d029f3390af00613bac8aa0028b7bc440c336a980192dff444f8153a,cl,f,797,797
0071fd19d029f3390af00613bac8aa0028b7bc440c336a980192dff444f8153a,cl,t,737,797
00759ed1a1c4efc97c23b3a20b2dc6f5441969ae2cebcc67e796425b1e5c9de5,as,t,758,778
00759ed1a1c4efc97c23b3a20b2dc6f5441969ae2cebcc67e796425b1e5c9de5,as,t,778,778
0094c2a1e2c029f65d5eb5a6a67d9b7d8d19f959979677c95f8d39f24a97b6a1,cl,t,101,101
0097feb44ddf4ef60eb05af8e93f972c9148cb04dc0ddb0de3c01ef492728d47,ar,t,579,579
0098a36570af6ca9afeb07b3cdde207b4b5cd8c66e246fdc6eacabe6c7f42d63,ar,t,249,635
0098a36570af6ca9afeb07b3cdde207b4b5cd8c66e246fdc6eacabe6c7f42d63,ar,t,605,635
0098a36570af6ca9afeb07b3cdde207b4b5cd8c66e246fdc6eacabe6c7f42d63,ar,t,635,635
0098a36570af6ca9afeb07b3cdde207b4b5cd8c66e246fdc6eacabe6c7f42d63,ar,t,676,635
0098a36570af6ca9afeb07b3cdde207b4b5cd8c66e246fdc6eacabe6c7f42d63,ar,t,737,635
009b5df5d8b386dda9c90972bd7a112dc8348d0fadae84edf4fc184868d5031e,ar,f,1,342
009b5df5d8b386dda9c90972bd7a112dc8348d0fadae84edf4fc184868d5031e,ar,f,284,342
009b5df5d8b386dda9c90972bd7a112dc8348d0fadae84edf4fc184868d5031e,ar,f,334,342
009b5df5d8b386dda9c90972bd7a112dc8348d0fadae84edf4fc184868d5031e,ar,f,344,342
009b5df5d8b386dda9c90972bd7a112dc8348d0fadae84edf4fc184868d5031e,ar,f,423,342
009b5df5d8b386dda9c90972bd7a112dc8348d0fadae84edf4fc184868d5031e,ar,f,474,342
009b5df5d8b386dda9c90972bd7a112dc8348d0fadae84edf4fc184868d5031e,ar,f,488,342
009b5df5d8b386dda9c90972bd7a112dc8348d0fadae84edf4fc184868d5031e,ar,f,493,342
009b5df5d8b386dda9c90972bd7a112dc8348d0fadae84edf4fc184868d5031e,ar,f,549,342
009b5df5d8b386dda9c90972bd7a112dc8348d0fadae84edf4fc184868d5031e,ar,f,570,342
009b5df5d8b386dda9c90972bd7a112dc8348d0fadae84edf4fc184868d5031e,ar,f,601,342
009b5df5d8b386dda9c90972bd7a112dc8348d0fadae84edf4fc184868d5031e,ar,f,605,342
009b5df5d8b386dda9c90972bd7a112dc8348d0fadae84edf4fc184868d5031e,ar,f,758,342
009b5df5d8b386dda9c90972bd7a112dc8348d0fadae84edf4fc184868d5031e,ar,t,342,342
009b5df5d8b386dda9c90972bd7a112dc8348d0fadae84edf4fc184868d5031e,ar,t,377,342
009b5df5d8b386dda9c90972bd7a112dc8348d0fadae84edf4fc184868d5031e,ar,t,459,342
009b5df5d8b386dda9c90972bd7a112dc8348d0fadae84edf4fc184868d5031e,ar,t,571,342
009b5df5d8b386dda9c90972bd7a112dc8348d0fadae84edf4fc184868d5031e,ar,t,614,342
009b5df5d8b386dda9c90972bd7a112dc8348d0fadae84edf4fc184868d5031e,ar,t,634,342
009b5df5d8b386dda9c90972bd7a112dc8348d0fadae84edf4fc184868d5031e,ar,t,737,342
00a1056aeb6e216d3a8a5a503a8a80a5304a7959ce3b88f01011ebedb67866f2,cl,t,570,570
00a6a5d0a5a82678cff19e4b8aee275d228d514cec9d97e87e7a5f61a39e8c39,ar,t,1,1
00ad42d4db0c6fcccfd92f83312d9f34db47cce13c5d98bb38d93bdfdbb3baa7,cl,t,739,739
00b9cdeafa2fcbcf0e7406c908d55df01cb974467bf1227952bbdfa4dde6836c,ar,t,750,750
00d1589c08712c5a173fb6c850de40e32cf298121100ebbae9f86bc683b86134,cl,t,535,535
00df859e8bbf1541bf128c4b1f8b044bf2adcf8226cd8075877cd505ccd0545f,ar,t,1,1
00f2f0298e94f5cee393ce253e564765ad6cf85d3807dd07ed5823b07c85733a,ed,t,537,537
00f8d7e317dcf5932b345c381504455aea0760cc2837754d10e6afc9cf7e2893,cl,t,758,758
010db06b52fb60d04816af47bfbbea99623b284651b2822601c61c2ebe095bad,fl,f,79,81
010db06b52fb60d04816af47bfbbea99623b284651b2822601c61c2ebe095bad,fl,t,81,81
01111a614168ce1ec3550280f26eacc3cbae0f1418b8f12d92f054a75fea5757,cl,f,1,31
01111a614168ce1ec3550280f26eacc3cbae0f1418b8f12d92f054a75fea5757,cl,t,31,31
0115455b81d59b050020ab0ed9109243fe1c4b1990d91cc0ba877d2e40add42b,ed,t,358,758
0115455b81d59b050020ab0ed9109243fe1c4b1990d91cc0ba877d2e40add42b,ed,t,758,758
0128fbed59186fa69a870207eab4080c7ae553d6ce23359298d3fc44c5f1f942,cl,t,31,31
0137d12e2c7047a33fb817a077ebc98f4b1a52462b4bf96f30dc6d8117b8a9fd,cl,t,334,334
0137d12e2c7047a33fb817a077ebc98f4b1a52462b4bf96f30dc6d8117b8a9fd,cl,t,429,334
0137d12e2c7047a33fb817a077ebc98f4b1a52462b4bf96f30dc6d8117b8a9fd,cl,t,474,334
0137d12e2c7047a33fb817a077ebc98f4b1a52462b4bf96f30dc6d8117b8a9fd,cl,t,601,334
014ffde13854e9750b7730268ddcdbc3ee728ae221725521123f834f51a5263e,fl,f,216,474
014ffde13854e9750b7730268ddcdbc3ee728ae221725521123f834f51a5263e,fl,t,81,474
014ffde13854e9750b7730268ddcdbc3ee728ae221725521123f834f51a5263e,fl,t,474,474
014ffde13854e9750b7730268ddcdbc3ee728ae221725521123f834f51a5263e,fl,t,567,474
014ffde13854e9750b7730268ddcdbc3ee728ae221725521123f834f51a5263e,fl,t,570,474
014ffde13854e9750b7730268ddcdbc3ee728ae221725521123f834f51a5263e,fl,t,600,474
014ffde13854e9750b7730268ddcdbc3ee728ae221725521123f834f51a5263e,fl,t,758,474
016d4dd24a9248366f1a2eb1a174d23ba986b24809aab9572db017f220fd0620,cl,t,1,3
016d4dd24a9248366f1a2eb1a174d23ba986b24809aab9572db017f220fd0620,cl,t,3,3
016d4dd24a9248366f1a2eb1a174d23ba986b24809aab9572db017f220fd0620,cl,t,6,3
016d4dd24a9248366f1a2eb1a174d23ba986b24809aab9572db017f220fd0620,cl,t,11,3
016d4dd24a9248366f1a2eb1a174d23ba986b24809aab9572db017f220fd0620,cl,t,31,3
01712820cad9a0d8d77b62831485cd7d93b47624a83e91d3d5c3d0b1501e3b49,cl,t,81,81
0185791d8ed380f34067f5d8096c99311b5e95dadd9fbd3ca5e4a1d195ca1b36,as,t,1,6
0185791d8ed380f34067f5d8096c99311b5e95dadd9fbd3ca5e4a1d195ca1b36,as,t,6,6
01952f56085ecdac7619eb01cadc4b689a2563cde0263f4afdf28467022e0291,ar,f,739,6
01952f56085ecdac7619eb01cadc4b689a2563cde0263f4afdf28467022e0291,ar,f,758,6
01952f56085ecdac7619eb01cadc4b689a2563cde0263f4afdf28467022e0291,ar,t,6,6
